"File","RGroup","Space Value"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP85.HadGEM2-ES.in","p.cool.forb","0.0819415760509914"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP85.HadGEM2-ES.in","p.warm.forb","0.0204853940127479"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP85.HadGEM2-ES.in","a.cool.grass","0.0646233203018967"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP85.HadGEM2-ES.in","p.cool.grass","0.235532626355807"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP85.HadGEM2-ES.in","p.warm.grass","0.329921463723308"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP85.HadGEM2-ES.in","shrub","0.0487473837642516"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP85.HadGEM2-ES.in","succulents","0.0198174621132792"
"rgroup.freq.50.graz.1.24.specific.Current.in","sagebrush","0.0926870835524964"
"rgroup.freq.50.graz.1.24.specific.Current.in","a.cool.forb","0.0192302798798613"
"rgroup.freq.50.graz.1.24.specific.Current.in","a.warm.forb","0.0128201865865742"
"rgroup.freq.50.graz.1.24.specific.Current.in","p.cool.forb","0.102561492692594"
"rgroup.freq.50.graz.1.24.specific.Current.in","p.warm.forb","0.0256403731731485"
"rgroup.freq.50.graz.1.24.specific.Current.in","a.cool.grass","0"
"rgroup.freq.50.graz.1.24.specific.Current.in","p.cool.grass","0.357656210118531"
"rgroup.freq.50.graz.1.24.specific.Current.in","p.warm.grass","0.30824117376535"
"rgroup.freq.50.graz.1.24.specific.Current.in","shrub","0.0417091875986234"
"rgroup.freq.50.graz.1.24.specific.Current.in","succulents","0.0394540126328217"
"rgroup.freq.50.graz.1.24.specific.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","sagebrush","0.0771172145419026"
"rgroup.freq.50.graz.1.24.specific.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","a.cool.forb","0.0202205618746838"
"rgroup.freq.50.graz.1.24.specific.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","a.warm.forb","0.0134803745831226"
"rgroup.freq.50.graz.1.24.specific.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","p.cool.forb","0.10784299666498"
"rgroup.freq.50.graz.1.24.specific.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","p.warm.forb","0.0269607491662451"
"rgroup.freq.50.graz.1.24.specific.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","a.cool.grass","0"
"rgroup.freq.50.graz.1.24.specific.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","p.cool.grass","0.312068717248294"
"rgroup.freq.50.graz.1.24.specific.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","p.warm.grass","0.365729590391203"
"rgroup.freq.50.graz.1.24.specific.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","shrub","0.0347027465438562"
"rgroup.freq.50.graz.1.24.specific.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","succulents","0.0418770489857126"
"rgroup.freq.50.graz.1.24.specific.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-g2.in","sagebrush","0.0829851565316824"
"rgroup.freq.50.graz.1.24.specific.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-g2.in","a.cool.forb","0.0183909818792029"
"rgroup.freq.50.graz.1.24.specific.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-g2.in","a.warm.forb","0.0122606545861353"
"rgroup.freq.50.graz.1.24.specific.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-g2.in","p.cool.forb","0.0980852366890821"
"rgroup.freq.50.graz.1.24.specific.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-g2.in","p.warm.forb","0.0245213091722705"
"rgroup.freq.50.graz.1.24.specific.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-g2.in","a.cool.grass","0"
